"record_slot","record_type","gate_id","required_record_index","requirement_id","requirement_label","required_value","accepted_values","owner_input_location","review_status","notes","raw_evidence_policy","does_not_prove"
"outcome-1","documented_outcome","documented_outcomes","0","measured-change-captured","Measured change captured","true","","documentedOutcomes[].measuredChangeCaptured","owner_evidence_required","Use a bounded measured-change summary; do not overclaim causality.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","approved-quote-captured","Approved quote captured","true","","documentedOutcomes[].approvedQuoteCaptured","owner_evidence_required","The quote or testimonial approval remains owner-held.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","quote-approval-captured","Quote approval captured","true","","documentedOutcomes[].quoteApprovalCaptured","owner_evidence_required","Keep the approval trail outside git.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","measured-change-unit","Measured-change unit","Non-empty measuredChangeUnit","","documentedOutcomes[].measuredChangeUnit","owner_evidence_required","Examples: minutes_saved_per_report, review_cycles_reduced, counselor_prep_time_delta.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","measurement-window","Measurement window","Description with at least 6 characters","","documentedOutcomes[].measurementWindow","owner_evidence_required","Use a bounded observation window; avoid implying long-term retention or broad impact.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","outcome-claim-scope","Outcome claim scope","Description with at least 12 characters","","documentedOutcomes[].outcomeClaimScope","owner_evidence_required","State exactly what the result covers and what it does not cover.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","typicality-boundary","Typicality boundary","Description with at least 12 characters","","documentedOutcomes[].typicalityBoundary","owner_evidence_required","Do not imply a result is typical without separate substantiation.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","proof-artifact-hashes","Owner-held proof artifact hashes","At least one non-placeholder sha256 hash","","documentedOutcomes[].proofArtifactHashes","owner_evidence_required","Generate hashes with npm run hash:owner-evidence-artifacts -- <local partner/outcome proof files>. When hashing proof artifacts, use ordinary owner-held files outside git or under an ignored local proof path. The hasher rejects symbolic links, hard-linked files, tracked files, staged files, and non-ignored repository files; copy proof material to a single-link owner-held file before hashing.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","proof-artifact-types","Required proof artifact types","baseline_workflow_note; measured_change_summary; quote_approval","baseline_workflow_note; artifact_review_log; measured_change_summary; quote_approval; outcome_review_note","documentedOutcomes[].proofArtifactTypes","owner_evidence_required","Allowed values come from the verifier.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","raw-evidence-owner-held","Raw evidence owner-held attestation","true","","documentedOutcomes[].rawEvidenceOwnerHeld","owner_evidence_required","Raw names, private quotes, notes, and proof artifacts stay outside git.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","redaction-level","Redaction boundary","Description with at least 6 characters","","documentedOutcomes[].redactionLevel","owner_evidence_required","Examples: public_quote_approved, founder_private_records.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","integrity-attestations","Marketing/testimonial and outcome integrity attestations","marketingUseReviewed; materialConnectionReviewed; incentiveOrCompensationReviewed; noFakeOrSyntheticTestimonial; noReviewGatingOrSuppression; counterfactualNotClaimed; guaranteedOutcomeNotClaimed","marketingUseReviewed=true; materialConnectionReviewed=true; incentiveOrCompensationReviewed=true; noFakeOrSyntheticTestimonial=true; noReviewGatingOrSuppression=true; counterfactualNotClaimed=true; guaranteedOutcomeNotClaimed=true","documentedOutcomes[].integrityAttestations","owner_evidence_required","Owner-held review must cover marketing use, material connections, incentives or compensation, fake/synthetic testimonial risk, review gating/suppression, no counterfactual causality claim, and no guaranteed outcome claim.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","owner-evidence-archive","Owner-held outcome proof archive","baselineWorkflowEvidenceOwnerHeld; measuredChangeEvidenceOwnerHeld; quoteApprovalRecordOwnerHeld; privateQuoteTextOwnerHeldOutsideGit; materialConnectionReviewOwnerHeld; incentiveOrCompensationReviewOwnerHeld; typicalitySubstantiationOwnerHeld; reReviewRequiredBeforePublicCaseStudyUse","baselineWorkflowEvidenceOwnerHeld=true; measuredChangeEvidenceOwnerHeld=true; quoteApprovalRecordOwnerHeld=true; privateQuoteTextOwnerHeldOutsideGit=true; materialConnectionReviewOwnerHeld=true; incentiveOrCompensationReviewOwnerHeld=true; typicalitySubstantiationOwnerHeld=true; reReviewRequiredBeforePublicCaseStudyUse=true","documentedOutcomes[].ownerEvidenceArchive","owner_evidence_required","Owner-held archive metadata must confirm baseline workflow evidence, measured-change evidence, quote approval records, private quote text, material-connection review, incentive review, typicality substantiation, and required re-review before public case-study use.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
"outcome-1","documented_outcome","documented_outcomes","0","does-not-prove","Explicit claim boundaries","Non-empty doesNotProve array","","documentedOutcomes[].doesNotProve","owner_evidence_required","Must include limits such as guaranteed outcomes, causality, or generalizable demand.","Keep raw names, contacts, profile URLs, meeting/calendar links, contracts, notes, private quotes, customer data, proof artifacts, and hash salts owner-held outside tracked files.","Revenue; retention; causal product impact; market-wide demand; guaranteed career outcomes; legal compliance; testimonial compliance review"
